OBJECTID,LOCNUM,CONAME,STREET,CITY,STATE,STATE_NAME,ZIP,ZIP4,NAICS,SIC,SALESVOL,HDBRCH,ULTNUM,PUBPRV,EMPNUM,FRNCOD,ISCODE,SQFTCODE,LOC_NAME,STATUS,SCORE,SOURCE,REC_TYPE
727819,167154574,DUBOIS CITY CLERK,W MAIN ST,DUBOIS,ID,Idaho,83423, ,92112006,912104,0.000000000000000, ,000000000, ,3.000000000000000, , ,4,PointAddress,T,100.000000000000000,INFOGROUP,0
727820,167154749,MUD LAKE TELEPHONE CO-OP ASSN,W MAIN ST,DUBOIS,ID,Idaho,83423, ,51731106,481304,3472.000000000000000, ,000000000, ,10.000000000000000, , ,6,StreetAddress,M,100.000000000000000,INFOGROUP,0
727821,167154780,WAGONER OIL CO,THOMAS AVE,DUBOIS,ID,Idaho,83423, ,42472006,517210,22501.000000000000000, ,000000000, ,2.000000000000000, , ,2,StreetName,M,100.000000000000000,INFOGROUP,0
2211533,401661669,DUBOIS MUNICIPAL AIRPORT-U41,OLD HIGHWAY 91,DUBOIS,ID,Idaho,83423, ,48811907,458106,139.000000000000000, ,000000000, ,2.000000000000000,G, ,2,StreetName,M,100.000000000000000,INFOGROUP,0
2686589,404310390,E-G LIVESTOCK LOGISTICS, ,DUBOIS,ID,Idaho,83423, ,48422007,421203,290.000000000000000, ,000000000, ,2.000000000000000, , ,2,Postal,M,100.000000000000000,INFOGROUP,1
2686590,404310394,OPAL COUNTRY CAFE, ,DUBOIS,ID,Idaho,83423, ,72251117,581208,79.000000000000000, ,000000000, ,2.000000000000000, , ,1,Postal,M,100.000000000000000,INFOGROUP,1
2686596,404310413,HIGH PLAINS PROPANE,W MAIN ST,DUBOIS,ID,Idaho,83423, ,45431010,598401,2545.000000000000000, ,000000000, ,5.000000000000000, , ,4,StreetAddress,M,100.000000000000000,INFOGROUP,0
2686598,404310417,LARSEN OF IDAHO-CORPORATE OFC, ,DUBOIS,ID,Idaho,83423, ,42448011,514802,16112.000000000000000, ,000000000, ,16.000000000000000, , ,5,Postal,M,100.000000000000000,INFOGROUP,1
2686599,404310421,DUBOIS STORAGE, ,DUBOIS,ID,Idaho,83423, ,53113001,422503,76.000000000000000, ,000000000, ,1.000000000000000, , ,4,Postal,M,100.000000000000000,INFOGROUP,1
2799055,404915115,COUNTY OF CLARK,W MAIN,DUBOIS,ID,Idaho,83423, ,92112007,912103,0.000000000000000, ,000000000, ,3.000000000000000, , ,3,StreetAddress,M,90.906300000000002,INFOGROUP,0
3145826,410750933,COMMUNITY BAPTIST CHURCH,PO BOX 23,DUBOIS,ID,Idaho,83423,0023,81311008,866107,0.000000000000000, ,000000000, ,3.000000000000000,C, ,1,Postal,M,100.000000000000000,INFOGROUP,2
3145994,410757092,DUBOIS LIONS CLUB,PO BOX 117,DUBOIS,ID,Idaho,83423,0117,81341001,864103,0.000000000000000,2,150715803, ,1.000000000000000,L, ,1,Postal,M,100.000000000000000,INFOGROUP,2
3243977,413231281,PHILLIPS 66,MAIN ST IDAHO ST,DUBOIS,ID,Idaho,83423, ,44719005,554101,11100.000000000000000,2,405402483,2,15.000000000000000,S, ,2,Postal,M,100.000000000000000,INFOGROUP,0
3733247,418641017,ARGORA RANCH INC,MADISON LODGE RD,DUBOIS,ID,Idaho,83423, ,11299013,029101,37.000000000000000, ,000000000, ,1.000000000000000, , ,2,Postal,M,100.000000000000000,INFOGROUP,0
4161424,424558047,LARSEN HAY TERMINAL,KILGORE RD,DUBOIS,ID,Idaho,83423, ,42491017,519115,37296.000000000000000, ,000000000, ,25.000000000000000, , ,6,StreetName,M,100.000000000000000,INFOGROUP,0
4537313,427418192,CLARK COUNTY COMMISSIONER,W MAIN ST,DUBOIS,ID,Idaho,83423, ,92112007,912103,0.000000000000000, ,000000000, ,3.000000000000000, , ,5,StreetAddress,M,100.000000000000000,INFOGROUP,0
4537314,427418193,DEFENSE FINANCE & ACCOUNTINGS, ,DUBOIS,ID,Idaho,83423, ,54121101,872101,398.000000000000000, ,000000000, ,3.000000000000000, , ,1,Postal,M,100.000000000000000,INFOGROUP,1
4537316,427418200,D LEONARDSON INSURANCE, ,DUBOIS,ID,Idaho,83423, ,52421001,641112,352.000000000000000, ,000000000, ,3.000000000000000, , ,2,Postal,M,100.000000000000000,INFOGROUP,1
4937333,433692486,ATM,MAIN ST,DUBOIS,ID,Idaho,83423, ,52211001,602103,0.000000000000000, ,000000000, ,0.000000000000000, , , ,StreetName,M,100.000000000000000,INFOGROUP,3
4950580,433715093,ATM,W MAIN ST,DUBOIS,ID,Idaho,83423, ,52211001,602103,0.000000000000000, ,000000000, ,0.000000000000000, , , ,PointAddress,M,100.000000000000000,INFOGROUP,3
5180471,435427266,WATER DIST 31, ,DUBOIS,ID,Idaho,83423, ,22131003,494102,981.000000000000000, ,000000000, ,5.000000000000000, , ,4,Postal,M,100.000000000000000,INFOGROUP,1
5180473,435427269,RIVER BEND, ,DUBOIS,ID,Idaho,83423, ,99999004,999977,0.000000000000000, ,000000000, ,0.000000000000000, , ,1,Postal,M,100.000000000000000,INFOGROUP,1
5460505,438967716,WARD FARMS, ,DUBOIS,ID,Idaho,83423, ,11199803,019101,154.000000000000000, ,000000000, ,2.000000000000000, , ,1,Postal,M,100.000000000000000,INFOGROUP,1
5460507,438967718,BUCKNER CO, ,DUBOIS,ID,Idaho,83423, ,52421001,641112,352.000000000000000, ,000000000, ,3.000000000000000, , ,2,Postal,M,100.000000000000000,INFOGROUP,1
5460509,438967720,CLARK COUNTY RECORDER,W MAIN ST,DUBOIS,ID,Idaho,83423, ,92112007,912103,0.000000000000000, ,000000000, ,3.000000000000000, , ,5,StreetAddress,M,100.000000000000000,INFOGROUP,0
5563890,439835101,CLARK COUNTY CLERK,W MAIN ST,DUBOIS,ID,Idaho,83423, ,92112007,912103,0.000000000000000, ,000000000, ,3.000000000000000, , ,5,StreetAddress,M,100.000000000000000,INFOGROUP,0
5563894,439835113,BEAVER CREEK INN,S REYNOLDS,DUBOIS,ID,Idaho,83423, ,72111002,701101,248.000000000000000, ,000000000, ,3.000000000000000, , ,2,StreetAddress,M,90.906300000000002,INFOGROUP,0
5676832,440572537,REST AREA I-15 NB MM 167,NB MM 167,DUBOIS,ID,Idaho,83423, ,92612010,962110,0.000000000000000, ,000000000, ,0.000000000000000, , ,2,Postal,M,100.000000000000000,INFOGROUP,0
5676835,440572540,REST AREA I-15 SB MM 167,SB MM 167,DUBOIS,ID,Idaho,83423, ,92612010,962110,0.000000000000000, ,000000000, ,0.000000000000000, , ,2,Postal,M,100.000000000000000,INFOGROUP,0
5760011,450122148,LINDY ROSS ELEMENTARY SCHOOL,S OAKLEY ST,DUBOIS,ID,Idaho,83423, ,61111007,821103,0.000000000000000, ,000000000, ,14.000000000000000,EN, ,7,StreetName,M,100.000000000000000,INFOGROUP,0
5820989,456777358,CLARK COUNTY DISTRICT COURT,W MAIN ST,DUBOIS,ID,Idaho,83423, ,92112007,912103,0.000000000000000, ,000000000, ,3.000000000000000, , ,5,StreetAddress,M,100.000000000000000,INFOGROUP,0
5820991,456777374,DUBOIS PUMP HOUSE,N REYNOLDS ST,DUBOIS,ID,Idaho,83423, ,92112006,912104,0.000000000000000, ,000000000, ,2.000000000000000, , ,3,StreetAddress,M,100.000000000000000,INFOGROUP,0
5820992,456777390,CLARK COUNTY EXTENSION SVC,W MAIN ST,DUBOIS,ID,Idaho,83423, ,92112007,912103,0.000000000000000, ,000000000, ,1.000000000000000, , ,4,PointAddress,T,100.000000000000000,INFOGROUP,0
5820993,456777440,CLARK COUNTY COMMUNITY BLDG, ,DUBOIS,ID,Idaho,83423, ,92112007,912103,0.000000000000000, ,000000000, ,3.000000000000000, , ,3,Postal,M,100.000000000000000,INFOGROUP,1
5970396,474167467,CLARK COUNTY HIGHWAY DEPT,CEMETARY LN,DUBOIS,ID,Idaho,83423, ,92112007,912103,0.000000000000000, ,000000000, ,6.000000000000000, , ,4,StreetName,M,88.640600000000006,INFOGROUP,0
6146423,493449144,MOBILE GLASS REPAIR,S THOMAS AVE,DUBOIS,ID,Idaho,83423, ,44419031,523110,350.000000000000000, ,000000000, ,1.000000000000000, , ,1,StreetAddress,M,90.906300000000002,INFOGROUP,0
6472468,537818619,EGAN LAND & LIVESTOCK,ROLAND RD,DUBOIS,ID,Idaho,83423,5005,11299013,029101,37.000000000000000, ,000000000, ,1.000000000000000, , ,2,PointAddress,M,100.000000000000000,INFOGROUP,0
6472469,537818643,CLARK COUNTY WEED DEPT,W MAIN ST,DUBOIS,ID,Idaho,83423, ,92112007,912103,0.000000000000000, ,000000000, ,2.000000000000000, , ,4,StreetAddress,M,100.000000000000000,INFOGROUP,0
6731548,572800324,US AGRICULTURAL DEPT, ,DUBOIS,ID,Idaho,83423, ,92112009,912101,0.000000000000000,2,801257445, ,5.000000000000000, , ,4,Postal,M,100.000000000000000,INFOGROUP,1
6878514,590788709,CLARK COUNTY ECONOMIC DEVMNT,W MAIN ST,DUBOIS,ID,Idaho,83423, ,92112007,912103,0.000000000000000, ,000000000, ,3.000000000000000, , ,4,PointAddress,T,100.000000000000000,INFOGROUP,0
7236036,630431757,CLARK COUNTY EMS,W MAIN,DUBOIS,ID,Idaho,83423, ,92112007,912103,0.000000000000000, ,000000000, ,1.000000000000000, , ,3,StreetAddress,M,90.906300000000002,INFOGROUP,0
7671840,674272216,CLARK COUNTY DRIVER'S LICENSE,W MAIN ST,DUBOIS,ID,Idaho,83423, ,92612009,962106,0.000000000000000, ,000000000, ,4.000000000000000,D, ,6,StreetAddress,M,100.000000000000000,INFOGROUP,0
7672288,674368832,CLARK COUNTY ASSESSOR,W MAIN ST,DUBOIS,ID,Idaho,83423, ,92612009,962106,0.000000000000000, ,000000000, ,3.000000000000000,V, ,6,StreetAddress,M,100.000000000000000,INFOGROUP,0
